Skills,Description,Percentage of new career starts,Percentage of pay increase or promotion,Estimated Time to Complete,Instructors
,"Welcome to Access Controls!The Access Controls Course provides information pertaining to specify what users are permitted to do, the resources they are allowed to access, and what operations they are able to perform on a system. Access Controls help managers limit and monitor systems use at a user level or group membership. You will understand the different access control systems and how they should be implemented to protect the system and data using the different levels of confidentiality, integrity, and availability.

The Access Controls course provides information pertaining to specifying what users are permitted to do, the resources they are allowed to access, and what operations they are able to perform on a system. Access Controls help managers limit and monitor systems use at a user level, and is usually predefined based on authority level or group membership. You will understand the different access control systems and how they should be implemented to protect the system and data using the different levels of confidentiality, integrity, and availability.

  Objectives
1. Describe how to implement Authentication mechanisms
2. Identify and operate internetwork trust architectures
3. Describe the process of administering identity management life cycle
4. Implement the different types of access controls (Subject/Object based)",Missing,Missing,Approx. 15 hours to complete,(ISC)² Education & Training
"English Grammar,Grammar,Perfect Tenses,Writing","This is the first course in the Learn English: Intermediate Grammar specialization. In this course, you will learn about important intermediate verb tenses, including present perfect, present perfect progressive, past perfect, and past perfect progressive. You will also learn about common modal verbs used in English. This course is designed for learners who have a basic understanding of English grammar but who want to learn more and improve their skills for everyday speaking or writing, as well as for academics. It will be a fun class with lots of entertaining and informative video lectures.",Missing,Missing,Approx. 26 hours to complete,"Tamy Chapman,Emily Wong,Brad Gilpin"
"Autocad,Design,Autodesk,Engineering,Computer-Aided Design (CAD)","Prove to potential employers that you’re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: AutoCAD for Design and Drafting exam. The video lessons are structured to match the exam’s objective domains and follow the typical workflow and features of the AutoCAD software, including sections on drawing and organizing objects, drawing with accuracy, advanced editing functions, layouts, printing, and outputs, annotation techniques, and reusable content and drawing management. In the course, you will create drawing objects, manage layers, apply object snaps, and work with the User Coordinate System. You’ll edit objects and apply rotation and scale, array techniques, grip editing, offsets, fillet and chamfer, and trim and extend. You will also gain an understanding of exam topics such as layouts and viewports, output formats, and drawing management. Brush up on markup tools, hatch and fill, text, tables, multileaders, dimensioning, and much more.About the Autodesk Certified Professional: AutoCAD for Design and Drafting Exam:
The Autodesk Certified Professional: AutoCAD for Design and Drafting exam is the recognized standard for measuring your skills and knowledge in AutoCAD. Certification at this level demonstrates a comprehensive skill set that provides an opportunity for individuals to stand out in a competitive professional environment. This type of experience typically comes from having worked with the software on a regular basis for at least 2 years, equivalent to approximately 400 hours (minimum) - 1200 hours (recommended), of real-world Autodesk software experience. Ready to take the exam? Schedule to take the exam online or find a testing center near you on pearsonvue.com/autodesk.",Missing,Missing,Approx. 17 hours to complete,Autodesk
"Bayesian Network,Graphical Model,Markov Random Field","Probabilistic graphical models (PGMs) are a rich framework for encoding probability distributions over complex domains: joint (multivariate) distributions over large numbers of random variables that interact with each other. These representations sit at the intersection of statistics and computer science, relying on concepts from probability theory, graph algorithms, machine learning, and more. They are the basis for the state-of-the-art methods in a wide variety of applications, such as medical diagnosis, image understanding, speech recognition, natural language processing, and many, many more. They are also a foundational tool in formulating many machine learning problems. This course is the first in a sequence of three. It describes the two basic PGM representations: Bayesian Networks, which rely on a directed graph; and Markov networks, which use an undirected graph. The course discusses both the theoretical properties of these representations as well as their use in practice. The (highly recommended) honors track contains several hands-on assignments on how to represent some real-world problems. The course also presents some important extensions beyond the basic PGM representation, which allow more complex models to be encoded compactly.",Missing,Missing,Approx. 63 hours to complete,Daphne Koller
"Plant Biology,Genetics,Cell Biology,Plant","For centuries we have collectively marveled at plant diversity and form—from Charles Darwin’s early fascination with stems and flowers to Seymour Krelborn’s distorted doting in Little Shop of Horrors. This course intends to present an intriguing and scientifically valid look at how plants themselves experience the world—from the colors they see to the sensations they feel. Highlighting the latest research in genetics and more, we will delve into the inner lives of plants and draw parallels with the human senses to reveal that we have much more in common with sunflowers and oak trees than we may realize. We’ll learn how plants know up from down, how they know when a neighbor has been infested by a group of hungry beetles, and whether they appreciate the music you’ve been playing for them or if they’re just deaf to the sounds around them. We’ll explore definitions of memory and consciousness as they relate to plants in asking whether we can say that plants might even be aware of their surroundings. This highly interdisciplinary course meshes historical studies with cutting edge modern research and will be relevant to all humans who seek their place in nature. This class has three main goals: 1. To introduce you to basic plant biology by exploring plant senses (sight, smell, hearing, touch, taste, balance). 2. To introduce you to biological research and the scientific method. 3. To get the student to question life in general and what defines us as humans.

Once you've taken this course, if you are interested in a more in-depth study of plants, check out my follow-up course, Fundamentals of Plant Biology (https://www.coursera.org/learn/plant-biology/home/welcome).

In order to receive academic credit for this course you must successfully pass the academic exam on campus. For information on how to register for the academic exam – https://tauonline.tau.ac.il/registration

Additionally, you can apply to certain degrees using the grades you received on the courses. Read more on this here – 
https://go.tau.ac.il/b.a/mooc-acceptance

Teachers interested in teaching this course in their class rooms are invited to explore our Academic High school program here – https://tauonline.tau.ac.il/online-highschool",Missing,Missing,Approx. 11 hours to complete,"Professor Daniel Chamovitz, Ph.D."
"Bigquery,Internet Of Things (IOT),Cloud Computing,Communications Protocol","By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<Welcome to the Coursera course, Industrial Internet of Things (IoT) on Google Cloud Platform (GCP) brought to you by the Google Cloud team. I’m Catherine Gamboa and I’m going to be your guide.

This course covers the entire Industrial IoT network architecture from sensors and devices to analysis. The course discusses sensors and devices but the focus is on the cloud side.  You'll learn about the importance of scaling, device communication, and processing streaming data. The course uses simulated devices in the labs to allow you to concentrate on learning the cloud side of IIoT.  The course is a little different than most Coursera courses because there is very little video. Most of the learning is done with short readings, quizzes, and labs.  

This course takes about two weeks to complete, 11-12 hours of work with 6 of those hours spent in labs.  By the end of this course, you’ll be able to: create a streaming data pipeline, to create registries with Cloud IoT Core, topics and subscriptions with Cloud Pub/Sub, store data on Google Cloud Storage, query the data in BigQuery, and gain data insights with Dataprep.  You'll learn and practice these skills in 7 labs.  Then you'll have an opportunity to test yourself in an optional capstone lab using simulated devices or Cloud IoT Core Inspector.",Missing,Missing,Approx. 15 hours to complete,Google Cloud Training
,"Welcome to the world of Unity XR! This specialization includes three courses which will explain the technologies that make XR possible, describe the unique UX concerns around developing for XR, and walk you through developing VR and AR apps for mobile devices. You will learn how Unity supports the many components of a VR app, including tracking, teleporting, interacting with virtual objects, positional audio, and much more. You’ll also see how Unity’s AR Foundation supports building handheld AR apps. XR is a field that is constantly evolving, and we’ll show you what’s on the horizon for VR and AR.",Missing,Missing,Approx. 3 months to complete,"Unity Technologies,Peter Patterson"
"Management,Corporate Governance","Identify and analyze leadership and governance issues, create practical ways to improve board performance and work with boards to implement these improvements.

This Specialization consists of three courses plus a Capstone Project: (1) Course 1 topics: The unique nature of the nonprofit sector in society; leadership in nonprofit organizations and the governance process. (2) Course 2 topics: The roles and responsibilities of nonprofit organization boards of directors and the challenges in carrying them out effectively. (3) Course 3 topics: The critical factors that impact the ability of the board to govern and how to intentionally change them into positive influences. The Capstone Project: How to help real boards overcome inertia and resistance to change and improve their governance effectiveness in an applied service learning experience. To learn more about the series of courses, please watch the Welcome Video.",33.0,33.0,Approx. 6 months to complete,"Prof. Yvonne D. Harrison, PhD,Prof. Vic Murray, PhD"
,"In this first course of the specialization, we will discuss the limitations of the Internet for business and economic activity, and explain how blockchain technology represents the way forward. After completing this course, you will be able to explain what blockchain is, how it works, and why it is revolutionary. You will learn key concepts such as mining, hashing, proof-of-work, public key cryptography, and the double-spend problem. You’ll be able to describe seven design principles for blockchain technology, and the challenges facing the people developing it. You’ll also meet the players in the blockchain ecosystem, and consider your own role in stewarding the blockchain revolution.",Missing,Missing,Approx. 19 hours to complete,"Don Tapscott,Alex Tapscott"
,"Ensuring patient safety and healthcare quality is critical and should be a key focus of everyone in healthcare practice. This course provides healthcare practitioners and others with an introduction to the knowledge and skills needed to lead patient safety and quality improvement initiatives at the micro and macro levels. Participants will explore the foundations of health care quality and the science underlying patient safety and quality improvement, design and select effective health care measures, analyze patient safety problems and processes using tools such as human factors analysis, apply systematic approaches including the Plan-Do-Study-Act (PDSA) model to address quality improvement challenges, and learn strategies to lead a culture of change. The course takes a world view of patient safety and quality, linking participants to research and resources from the World Health Organization (WHO), the US Agency for Healthcare Research and Quality (AHRQ), the Joint Commission and other international organizations. Course highlights include personal stories, lessons learned from other industries and interviews with the President of the National Committee for Quality Assurance (NCQA) and other leaders in quality movement.About The George Washington University School of Nursing

Ranked among the top nursing schools by U.S. News & World Report, the George Washington University School of Nursing educates and inspires nurses to provide high-quality, compassionate person-centered health care. The school develops leaders actively engaged in health promotion, patient advocacy and healthcare innovation, and prepares exceptional nurse educators who pursue quality and advance the profession. The School of Nursing is committed to improving the health and wellbeing of people and communities locally, nationally and globally. The school values lifelong learning and its students advance nursing practice, leadership and education as they make a difference in the world.",Missing,Missing,Approx. 12 hours to complete,"Jean Johnson,Gregory Pawlson"
,"What is Cryptocurrency and how is it an innovative and effective method of currency? This course was designed for individuals and organizations who want to learn how to navigate investment in cryptocurrencies. Professors Jessica Wachter and Sarah Hammer will guide you through developing a framework for understanding both Cryptocurrency and Blockchain. You’ll learn how to define a currency, analyze the foundations of digital signatures and blockchain technology in cryptocurrency, and accurately assess the risks of cryptocurrency in a modern investment portfolio. By the end of this course, you’ll have a deep understanding of the realities of Cryptocurrency, the intricacies of Blockchain technology, and an effective strategy for incorporating Cryptocurrency into your investment plans. No prerequisites are required, although ""Fintech: Foundations, Payments, and Regulations""  from Wharton's Fintech Specialization is recommended.",Missing,Missing,Approx. 4 hours to complete,"Jessica Wachter,Sarah Hammer"
,"The course aims to introduce the key assumptions of the international relations theory as a part of social science and as an analytic tool, focusing on the problems of war and peace, foreign policy decision-making, etc. The course combines historic approach and analysis of the modern political problems.  The historic part shows the evolution of the international relations theory from being a part of political philosophy to its emergence as a special branch of political science, which is essential to understand the key ideas of the IR science. The lectures also include  broad outline of the modern concepts and debates  in the context of the contemporary political problems, such as rise of China and other emerging powers, threat of terrorism, US-Russia confrontation, etc.  The lectures of the two outstanding Russian scholars and political analysts – Timofey  Bordachev and Dmitry Suslov -  cover such fields as the problems of international security and conflict resolution, international economic relations, foreign policy decision-making, global governance, the role of power in the IR.

Do you have technical problems? Write to us: coursera@hse.ru",Missing,Missing,Approx. 24 hours to complete,"Timofei Bordachev,Dmitrii Suslov"
,"We currently face unprecedented challenges on a global scale. These problems do not neatly fall into disciplines. They are complicated, complex, and connected. Join us on this epic journey of 13.8 billion years starting at the Big Bang and travelling through time all the way to the future. Discover the connections in our world, the power of collective learning, how our universe and our world has evolved from incredible simplicity to ever-increasing complexity. Experience our modern scientific origin story through Big History and discover the important links between past, current, and future events. You will find two different types of lectures. ‘Zooming In’ lectures from multiple specialists enable you to understand key concepts through the lens of different disciplines, whilst David Christian's ‘Big History Framework’ lectures provide the connective overview for a journey through eight thresholds of Big History.",Missing,Missing,Approx. 26 hours to complete,"David Christian,David Baker"
"treatment effect estimation,machine learning interpretation,Random Forest,natural language entity extraction,question-answering","AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make predictions about patients’ future health, and recommend better treatments. This Specialization will give you practical experience in applying machine learning to concrete problems in medicine.Medical treatment may impact patients differently based on their existing health conditions. In this third course, you’ll recommend treatments more suited to individual patients using data from randomized control trials. In the second week, you’ll apply machine learning interpretation methods to explain the decision-making of complex machine learning models. Finally, you’ll use natural language entity extraction and question-answering methods to automate the task of labeling medical datasets.

These courses go beyond the foundations of deep learning to teach you the nuances in applying AI to medical use cases. If you are new to deep learning or want to get a deeper foundation of how neural networks work, we recommend that you take the Deep Learning Specialization.",Missing,Missing,Approx. 22 hours to complete,"Pranav Rajpurkar,Bora Uyumazturk,Amirhossein Kiani,Eddy Shyu"
"Brand Management,Asset Management,Value Proposition,Intellectual Property","Intellectual property is the currency of the tech world, with the world’s most valuable intellectual property assets dwarfing the value of their real-world counterparts. Apple’ trademarked brand was valued at over $100 billion as of 2017. J.K. Rowling’s Harry potter franchise has generated over $25 billion to date. But how did the law come to create such enormous value in intangible assets?This course will introduce the various types of U.S. intellectual property: patents, which cover inventions and process innovations; copyright, which protects original works of authorship; and trademarks, which protect a business’ commercial identity as the source of valuable goods and services. You will then explore case studies of how global businesses have used intellectual property law to generate enormous value from these intangible assets.",Missing,Missing,Approx. 16 hours to complete,R. Polk Wagner
"International Financial Reporting Standards (IFRS),Strategic Management,Finance,Corporate Governance","This MOOC identifies and explores a number of challenges to the finance professional arising from the ever changing business environment. Increasingly, financial decisions must take account of strategic consequences. The first module, Exploring Strategic Position, Choice and Action helps in doing that – setting a strategic context for planning for, monitoring and controlling projects and activities. An on-going set of challenges is found in the evolution of International Reporting Standards. 

The second module focuses on some recent changes in Standards, identifying the drivers for changes, and examining evolution in controversial areas such as leasing and goodwill. 

The third and final module, Corporate Governance, examines issues which are causing people to re-assess the nature, purpose and scope of corporate governance, and challenges to making governance function effectively. Key issues here are the move to include a broader range of stakeholders, the perennial challenge of agency theory issues, shareholder activism, changing Board structures, and challenges to internal control to better manage risk. 

This MOOC will be right for you if you are interested in engaging with some of the challenges facing finance professionals, even if you are not one yourself. If you are thinking about returning to study this will provide a taster of academic endeavours through reading articles, critiquing ideas, and blending theory with reality.",Missing,Missing,Approx. 53 hours to complete,"Dr Sarah Warnes,Dr Alan Parkinson,Mr Suman Saha"
,"*Note: this is a new course with updated content from what you may have seen in the previous version of this Specialization.Processing streaming data is becoming increasingly popular as streaming enables businesses to get real-time metrics on business operations. This course covers how to build streaming data pipelines on Google Cloud Platform. Cloud Pub/Sub is described for handling incoming streaming data. The course also covers how to apply aggregations and transformations to streaming data using Cloud Dataflow, and how to store processed records to BigQuery or Cloud Bigtable for analysis. Learners will get hands-on experience building streaming data pipeline components on Google Cloud Platform using QwikLabs.",Missing,Missing,Approx. 12 hours to complete,Google Cloud Training
,"An immersive experience in the world of sports that will take students through the four stages of a professional athlete's career. Utilizing lectures, guest speakers, reading assignments and hypothetical walkthroughs, students will learn how the best sports agents manage clients at each of these four stages.This course will provide each student with the skills necessary to guide an athlete through the difficult decisions that can make or lose the athlete millions of dollars, as well as affect their public image and career. Walking through the four stages of an athlete's career, we will provide a broad scope of the landscape of amateur and professional sports so that you can avoid the pitfalls and traps that so many have fallen into in the past; not to mention, bringing you updates throughout the course regarding the rapidly changing sports world that we live in today. Analyzing the best practices in the management of the superstar athletes with whom Professor Carfagna, Professor Volante and their expert guests have worked, we will show you how to manage the career of any professional athlete who might seek your guidance at any stage of his or her professional career.",Missing,Missing,Approx. 28 hours to complete,"Peter A. Carfagna,Richard J. Volante, Esq."
"Consumer Behaviour,Business Model,Communication Design,Innovation,Personal Advertisement,Professional,Persona (User Experience),Brand Management,Innovation Management,Strategic Management,Environmental Economics,Economics","Utilice las herramientas y técnicas de creatividad, diseño e innovación para generar soluciones diferentes a las convencionales ante retos complejos y reconozca el papel crítico que juega el diseño en la sociedad. ¡Conviértase en un líder creativo en su campo!",60.0,43.0,Approx. 5 months to complete,"Guadalupe VadilloTop Instructor,Prasad Boradkar"
,"Learners will deepen their understanding and appreciation of ways in which race, ethnicity and cultural diversity have shaped American institutions, ideology, law, and social relationships from the colonial era to the present. Race and ethnicity are ideological and cultural categories that include all groups and individuals. Hence, this course is designed in significant part to take a broad look at the ideology of race and cultural diversity in America’s past and present. The primary focus is on the historical and social relationships among European Americans, Native Americans, African Americans, Latino/as, and Asian/Pacific Americans. Issues of race and ethnicity are examined across different ethno-cultural traditions in order to interweave diverse experiences into a larger synthesis of the meaning of race and ethnicity in American life. In this course, we conceive of “race” and “diversity” as references to the entire American population, even as we recognize that different groups have unique historical experiences resulting in distinctive and even fundamental cultural differences. We treat race and ethnicity as dynamic, complex ideological and cultural processes that shape all social institutions, belief systems, inter-group relationships, and individual experiences.",Missing,Missing,Approx. 11 hours to complete,James D. Anderson
"Gratitude,Plan,Positive Psychology,Communication,Mindfulness","Learn how to incorporate resilience interventions into your personal and professional life with Dr. Karen Reivich. In this course, you are exposed to the foundational research in resilience, including protective factors such as mental agility and optimism. Several types of resilience interventions are explored including cognitive strategies; strategies to manage anxiety and increase positive emotions such as gratitude; and a critical relationship enhancement skill. Throughout the course, you will hear examples of individuals using resilience skills in their personal and professional lives.  Suggested prerequisites: Positive Psychology: Martin E. P. Seligman’s Visionary Science, Positive Psychology: Applications and Interventions and Positive Psychology: Character, Grit & Research Methods.",Missing,Missing,Approx. 16 hours to complete,"Karen Reivich, Ph.D."
,"La revolución digital cambió nuestra manera de comunicarnos, de comerciar y de relacionarnos. Ahora, está llegando al mundo del derecho.Este programa te ofrecerá una visión amplia de las principales tendencias que están afectando a la industria legal:

- El nacimiento del mercado de legaltech y la aplicación de tecnología en el derecho.
- El rol de la inteligencia artificial en la automatización del trabajo de los abogados.
- La tecnología de blockchain y su impacto en la forma en que firmamos y ejecutamos contratos.
- Las iniciativas para asegurar el acceso a la justicia a través de cortes virtuales y jueces robot.

El programa está dirigido a abogados, notarios, funcionarios, ejecutivos, emprendedores y cualquier persona que desee conocer las principales tendencias tecnológicas y de negocio que están impactando en el mundo legal.

El mundo del derecho va a sufrir mayores cambios en los próximos 20 años que en los últimos 200. El programa te brindará las herramientas necesarias para ser protagonista de esta transformación.

Es tu oportunidad de convertirte en un abogado digital.

Al finalizar este curso, serás capaz de:

- Analizar el contexto económico, tecnológico y regulatorio que afectará a la industria legal en los próximos años.
- Reconocer las áreas que serán afectadas por nuevas tecnologías como el blockchain y la inteligencia artificial.
- Aplicar estas nuevas tecnologías en la mejora de procesos para aumentar la eficiencia y transparencia en la administración de justicia.
- Construir prototipos de software legal a través de la metodología de design thinking.
- Decidir cómo capacitarte y orientar tu carrera para ser protagonista de la transformación digital del derecho.",Missing,Missing,Approx. 16 hours to complete,Federico Ast
,"As an expert in infectious diseases, editor of the Journal of Infectious Diseases and author of the textbook Infectious Diseases: A clinical short course, McGraw-Hill April 2020, I have been concerned about the misinformation being shared about the COVID-19 epidemic. How did this disease develop? Where did it come from? How does it cause diseases?  The answers to these questions will be answered in the first video of module 1. The world has been startled and frightened by the rapid spread of this virus throughout the world. In Video 2  the epidemiology as presently understood is reviewed. This video will be periodically updated recognizing the rapid progression of the pandemic. Many want to know how does this disease present, what are the symptoms associated with COVID-19? How dangerous is COVID-19? Who is at risk of dying? All these questions are answered in Video 3. And finally how is this disease best treated and how can we slow the spread of the infection? These questions are answered in video 4.  In addition to the videos multiple choice questions are included to test your understanding and there is an epidemiology peer reviewed exercise designed to teach you how this infection is spread and to show the power of the tracing of cases and isolating those who are infected. The second peer review exercise will encourage you to create a campaign to shift your countries culture to embrace behaviors that can lead to suppression of the epidemic, behaviors that will save lives. After completing this course you will be armed with the knowledge and skills to make a difference and help to bend the curve.",Missing,Missing,Approx. 5 hours to complete,"Frederick S. Southwick, MD"
"Makefile,C Programming,Embedded C","Welcome to the Introduction to Embedded Systems Software and Development Environments. This course is focused on giving you real world coding experience and hands on project work with ARM based Microcontrollers. You will learn how to implement software configuration management and develop embedded software applications. Course assignments include creating a build system using the GNU Toolchain GCC, using Git version control, and developing software in Linux on a Virtual Machine. The course concludes with a project where you will create your own build system and firmware that can manipulate memory.The second course in this 2 course series , Embedded Software and Hardware Architecture,  will use hardware tools to program and debug microcontrollers with bare-metal firmware. Using a Texas Instruments MSP432 Development Kit, you will configure a variety of peripherals, write numerous programs, and see your work execute on your own embedded platform!",Missing,Missing,Approx. 12 hours to complete,Alex Fosdick
,"This course introduces students to the basic components of electronics: diodes, transistors, and op amps.  It covers the basic operation and some common applications.",Missing,Missing,Approx. 17 hours to complete,"Dr. Bonnie H. Ferri,Dr. Robert Allen Robinson, Jr."
"Modeling,Risk,Microsoft Excel,Simulation","Useful quantitative models help you to make informed decisions both in situations in which the factors affecting your decision are clear, as well as in situations in which some important factors are not clear at all. In this course, you can learn how to create quantitative models to reflect complex realities, and how to include in your model elements of risk and uncertainty. You’ll also learn the methods for creating predictive models for identifying optimal choices; and how those choices change in response to changes in the model’s assumptions. You’ll also learn the basics of the measurement and management of risk. By the end of this course, you’ll be able to build your own models with your own data, so that you can begin making data-informed decisions. You’ll also be prepared for the next course in the Specialization.",Missing,Missing,Approx. 7 hours to complete,"Sergei Savin,Senthil Veeraraghavan"
"Petri Net,Process Modeling,Process Mining,Data Mining","Process mining is the missing link between model-based process analysis and data-oriented analysis techniques. Through concrete data sets and easy to use software the course provides data science knowledge that can be applied directly to analyze and improve processes in a variety of domains.Data science is the profession of the future, because organizations that are unable to use (big) data in a smart way will not survive. It is not sufficient to focus on data storage and data analysis. The data scientist also needs to relate data to process analysis. Process mining bridges the gap between traditional model-based process analysis (e.g., simulation and other business process management techniques) and data-centric analysis techniques such as machine learning and data mining. Process mining seeks the confrontation between event data (i.e., observed behavior) and process models (hand-made or discovered automatically). This technology has become available only recently, but it can be applied to any type of operational processes (organizations and systems). Example applications include: analyzing treatment processes in hospitals, improving customer service processes in a multinational, understanding the browsing behavior of customers using booking site, analyzing failures of a baggage handling system, and improving the user interface of an X-ray machine. All of these applications have in common that dynamic behavior needs to be related to process models. Hence, we refer to this as ""data science in action"".

The course explains the key analysis techniques in process mining. Participants will learn various process discovery algorithms. These can be used to automatically learn process models from raw event data. Various other process analysis techniques that use event data will be presented. Moreover, the course will provide easy-to-use software, real-life data sets, and practical skills to directly apply the theory in a variety of application domains.

This course starts with an overview of approaches and technologies that use event data to support decision making and business process (re)design. Then the course focuses on process mining as a bridge between data mining and business process modeling. The course is at an introductory level with various practical assignments.

The course covers the three main types of process mining.

1. The first type of process mining is discovery. A discovery technique takes an event log and produces a process model without using any a-priori information. An example is the Alpha-algorithm that takes an event log and produces a process model (a Petri net) explaining the behavior recorded in the log.

2. The second type of process mining is conformance. Here, an existing process model is compared with an event log of the same process. Conformance checking can be used to check if reality, as recorded in the log, conforms to the model and vice versa.

3. The third type of process mining is enhancement. Here, the idea is to extend or improve an existing process model using information about the actual process recorded in some event log. Whereas conformance checking measures the alignment between model and reality, this third type of process mining aims at changing or extending the a-priori model. An example is the extension of a process model with performance information, e.g., showing bottlenecks. Process mining techniques can be used in an offline, but also online setting. The latter is known as operational support. An example is the detection of non-conformance at the moment the deviation actually takes place. Another example is time prediction for running cases, i.e., given a partially executed case the remaining processing time is estimated based on historic information of similar cases.

Process mining provides not only a bridge between data mining and business process management; it also helps to address the classical divide between ""business"" and ""IT"". Evidence-based business process management based on process mining helps to create a common ground for business process improvement and information systems development.

The course uses many examples using real-life event logs to illustrate the concepts and algorithms. After taking this course, one is able to run process mining projects and have a good understanding of the Business Process Intelligence field.

After taking this course you should:
- have a good understanding of Business Process Intelligence techniques (in particular process mining),
- understand the role of Big Data in today’s society,
- be able to relate process mining techniques to other analysis techniques such as simulation, business intelligence, data mining, machine learning, and verification,
- be able to apply basic process discovery techniques to learn a process model from an event log (both manually and using tools),
- be able to apply basic conformance checking techniques to compare event logs and process models (both manually and using tools),
- be able to extend a process model with information extracted from the event log (e.g., show bottlenecks),
- have a good understanding of the data needed to start a process mining project,
- be able to characterize the questions that can be answered based on such event data,
- explain how process mining can also be used for operational support (prediction and recommendation), and
- be able to conduct process mining projects in a structured manner.",Missing,Missing,Approx. 22 hours to complete,Wil van der Aalst
"Persistence,iOS App Development,Xcode,Swift (Programming Language),Syntax,Computer Programming,Core Data,User Interface","Master Swift, design elegant interactions, and create a fully functioning iOS app.

This Specialization covers the fundamentals of iOS application development in the Swift programming language. You’ll learn to use development tools such as XCode, design interfaces and interactions and evaluate their usability, and integrate camera, photo, and location information to enhance your app. In the final Capstone Project, you’ll apply your skills to create a fully-functioning photo editing app for iPhone, iPad, and Apple Watch. A Mac computer is required for success in this course.",56.0,50.0,Approx. 5 months to complete,Parham Aarabi
"Economy,Microeconomics","This Specialization aims to make economic concepts accessible to every learner, and to teach them to analyze current events using the toolkit of economics. It begins by explaining the basic parameters of the macroeconomy, and how governments can/should use both fiscal and monetary policy to influence growth, inflation and employment. It then moves on to the international arena, where countries interact, and explains the basic principles of free trade, exchange rates, the balance of payments and immigration and how these interactions affect our everyday lives. Finally, learners will apply these tools and concepts to the world's leading economies and discover how they can ""read"" from a country's economic data important lessons about the risks and opportunities of doing business in these countries, equipping them with tools that they can use in the workplace and even in their personal investment decisions.",14.0,14.0,Approx. 5 months to complete,Gayle Allard
,"This UX course provides an introduction to the fields of UX research and design. Learners will gain an understanding of what is involved in UX research, including conducting interviews, evaluating systems, and analyzing systems using principles of good design. Learners will also learn about the work involved in UX Design, including the generation of promising design solutions and the creation of prototypes at multiple levels of fidelity. By interleaving successive phases of UX Research and Design, learners will see how to learn from inevitable mistakes and improve towards a product with a great UX.What you'll learn:

- The skills needed for UX research and design 
- How UX researchers discover and assess user needs and assess possible designs 
- How to conduct a micro-usability test 
- How UX designers use sketching and prototyping to develop design concepts
- How to incorporate a user-centered focus into the design process 
- Key features of human behavior and describe their impact on the design of interactive systems 
- Techniques for critiquing and designing interactive systems based on human capabilities and behavior",Missing,Missing,Approx. 14 hours to complete,Mark Newman
,"We have learned a lot recently about how the Universe evolved in 13.7 billion years since the Big Bang. More than 80% of matter in the Universe is mysterious Dark Matter, which made stars and galaxies to form. The newly discovered Higgs-boson became frozen into the Universe a trillionth of a second after the Big Bang and brought order to the Universe. Yet we still do not know how ordinary matter (atoms) survived against total annihilation by Anti-Matter. The expansion of the Universe started acceleration about 7 billion years ago and the Universe is being ripped apart. The culprit is Dark Energy, a mysterious energy multiplying in vacuum. I will present evidence behind these startling discoveries and discuss what we may learn in the near future.This course is offered in English.",Missing,Missing,Approx. 10 hours to complete,Hitoshi Murayama
,"Fossil fuels have been the primary energy source for society since the Industrial Revolution. They provide the raw material for the manufacture of many everyday products that we take for granted, including pharmaceuticals, food and drink, materials, plastics and personal care.  As the 21st century progresses we need solutions for the manufacture of chemicals that are smarter, more predictable and more sustainable.  

Industrial biotechnology is changing how we manufacture chemicals and materials, as well as providing us with a source of renewable energy.   It is at the core of sustainable manufacturing processes and an attractive alternative to traditional manufacturing technologies to commercially advance and transform priority industrial sectors yielding more and more viable solutions for our environment in the form of new chemicals, new materials and bioenergy.  

This course will cover the key enabling technologies that underpin biotechnology research including enzyme discovery and engineering, systems and synthetic biology and biochemical and process engineering.  Much of this material will be delivered through lectures to ensure that you have a solid foundation in these key areas.   We will also consider the wider issues involved in sustainable manufacturing including responsible research innovation and bioethics. 

In the second part of the course we will look at how these technologies translate into real world applications which benefit society and impact our everyday lives.  This will include input from our industry stakeholders and collaborators working in the pharmaceutical, chemicals and biofuels industries.

By the end of this course you will be able to: 

1.	Understand enzymatic function and catalysis.
2.	Explain the technologies and methodologies underpinning systems and synthetic biology.
3.	Explain the diversity of synthetic biology application and discuss the different ethical and regulatory/governance challenges involved in this research.
4.	Understand the principles and role of bioprocessing and biochemical engineering in industrial biotechnology.
5.	Have an informed discussion of the key enabling technologies underpinning research in industrial biotechnology 
6.	Give examples of industrial biotechnology products and processes and their application in healthcare, agriculture, fine chemicals, energy and the environment.",Missing,Missing,Approx. 11 hours to complete,"Prof. Nicholas Turner,Prof. Nigel Scrutton"
